cik,industry,source_sector,ticker,company
34956,biotech,Drugs (Biotechnology),NasdaqCM:TENX,"Tenax Therapeutics, Inc. (NasdaqCM:TENX)"
72444,biotech,Drugs (Biotechnology),OTCPK:VXRT,"Vaxart, Inc. (OTCPK:VXRT)"
109657,biotech,Drugs (Biotechnology),NasdaqCM:GTBP,"GT Biopharma, Inc. (NasdaqCM:GTBP)"
318154,biotech,Drugs (Biotechnology),NasdaqGS:AMGN,Amgen Inc. (NasdaqGS:AMGN)
318306,biotech,Drugs (Biotechnology),NasdaqCM:ABEO,Abeona Therapeutics Inc. (NasdaqCM:ABEO)
320017,biotech,Drugs (Biotechnology),NasdaqCM:LSTA,"Lisata Therapeutics, Inc. (NasdaqCM:LSTA)"
715446,biotech,Drugs (Biotechnology),NasdaqCM:ANIX,"Anixa Biosciences, Inc. (NasdaqCM:ANIX)"
724445,biotech,Drugs (Biotechnology),OTCPK:BZYR,"Burzynski Research Institute, Inc. (OTCPK:BZYR)"
725363,biotech,Drugs (Biotechnology),NYSEAM:CVM,CEL-SCI Corporation (NYSEAM:CVM)
727510,biotech,Drugs (Biotechnology),OTCPK:ENZN,"Enzon Pharmaceuticals, Inc. (OTCPK:ENZN)"
728387,biotech,Drugs (Biotechnology),NYSEAM:CATX,"Perspective Therapeutics, Inc. (NYSEAM:CATX)"
744218,biotech,Drugs (Biotechnology),NasdaqCM:CLDX,"Celldex Therapeutics, Inc. (NasdaqCM:CLDX)"
748592,biotech,Drugs (Biotechnology),NasdaqCM:ERNA,Ernexa Therapeutics Inc. (NasdaqCM:ERNA)
749647,biotech,Drugs (Biotechnology),NasdaqCM:IMNN,"Imunon, Inc. (NasdaqCM:IMNN)"
791908,biotech,Drugs (Biotechnology),NasdaqGM:XOMA,XOMA Royalty Corporation (NasdaqGM:XOMA)
811641,biotech,Drugs (Biotechnology),NasdaqCM:ICCC,ImmuCell Corporation (NasdaqCM:ICCC)
812796,biotech,Drugs (Biotechnology),NasdaqCM:SNGX,"Soligenix, Inc. (NasdaqCM:SNGX)"
818033,biotech,Drugs (Biotechnology),NasdaqCM:HRTX,"Heron Therapeutics, Inc. (NasdaqCM:HRTX)"
827871,biotech,Drugs (Biotechnology),OTCPK:EGRX,"Eagle Pharmaceuticals, Inc. (OTCPK:EGRX)"
831749,biotech,Drugs (Biotechnology),OTCPK:HXBM,"Helix BioMedix, Inc. (OTCPK:HXBM)"
