"Specialty Pharma - Income Statement (USD in thousands) - SYNTHETIC",FY2023,FY2024
Net Product Revenue,"291,000","310,000"
Cost of Goods Sold,"(187,300)","(198,400)"
Gross Profit,"103,700","111,600"
General & Administrative,"(41,500)","(44,950)"
Sales & Marketing,"(36,600)","(38,750)"
Research & Development,"(10,500)","(11,160)"
Operating Income,"15,100","16,740"
Depreciation & Amortization,"10,200","10,850"
Net Income,"8,600","9,850"
"Memo: Rent & Occupancy","7,150","7,440"
"Memo: Advertising","1,750","1,860"
Capital Expenditures,"(8,700)","(9,300)"
