"Specialty Pharma - Income Statement (USD in thousands) - SYNTHETIC",Q1 2024,Q2 2024,Q3 2024,Q4 2024
Net Product Revenue,"71,000","75,500","79,000","84,500"
Cost of Goods Sold,"(45,600)","(48,300)","(50,500)","(54,000)"
Gross Profit,"25,400","27,200","28,500","30,500"
General & Administrative,"(10,300)","(10,900)","(11,400)","(12,350)"
Sales & Marketing,"(8,900)","(9,400)","(9,800)","(10,650)"
Research & Development,"(2,550)","(2,700)","(2,800)","(3,110)"
Operating Income,"3,650","4,200","4,500","4,390"
Depreciation & Amortization,"2,480","2,500","2,720","3,150"
Net Income,"2,270","2,600","2,780","2,200"
"Memo: Rent & Occupancy","1,650","1,700","1,950","2,140"
"Memo: Advertising","400","430","450","580"
Capital Expenditures,"(2,000)","(1,900)","(2,300)","(3,100)"
